Date,Open,Close
2015-01-01,8299.15,8285.41
2015-01-02,8302.06,8412.79
2015-01-05,8454.26,8361.78
2015-01-06,8329.15,8323.66
2015-01-07,8286.88,8355.6
2015-01-08,8354.3,8240.28
2015-01-09,8224.49,8133.19
2015-01-12,8093.4,8008.85
2015-01-13,7989.49,8038.36
2015-01-14,8048.95,8047.34
2015-01-15,8064.09,8072.14
2015-01-16,8090.99,8079.76
2015-01-19,8129.02,8092.59
2015-01-20,8120.01,8137.76
2015-01-21,8166.66,8258.59
2015-01-22,8244.22,8217.89
2015-01-23,8209.25,8209.04
2015-01-26,8193.7,8054.8
2015-01-27,8125.67,8077.67
2015-01-28,8049.94,8005.29
2015-01-29,7952.82,7965.05
2015-01-30,7946.36,8005.35
2015-02-02,8014.94,8014.84
2015-02-03,8040.78,8168.76
2015-02-04,8149.39,8116.66
2015-02-05,8164.25,8054.33
2015-02-06,8101.93,8057.63
2015-02-09,8068.12,8074.72
2015-02-10,8120.21,8118.2
2015-02-11,8165.16,8222.89
2015-02-12,8207.11,8255.63
2015-02-13,8184.33,7877.72
2015-02-16,7988.85,8023.11
2015-02-17,8031.63,7957.18
2015-02-18,7920.66,7905.15
2015-02-19,7914.49,7763.97
2015-02-20,7837.92,7678.49
2015-02-23,7667.46,7678.03
2015-02-24,7678.29,7665.89
2015-02-25,7624.11,7581.92
2015-02-26,7580.21,7566.1
2015-02-27,7558.48,7502.03
2015-03-02,7518.93,7641.18
2015-03-03,7627.14,7625.67
2015-03-04,7665.3,7728.58
2015-03-05,7793.96,7834.7
2015-03-06,7819.44,7769.06
2015-03-09,7740.31,7805.15
2015-03-10,7852.43,7751.37
2015-03-11,7742.06,7744.65
2015-03-12,7748.32,7747.45
2015-03-13,7756.81,7876.49
2015-03-16,7852.54,7883.69
2015-03-17,7864.08,7989.39
2015-03-18,8016.72,8047.18
2015-03-19,8046.75,8027.29
2015-03-20,8032.37,8044.48
2015-03-23,7993.79,8048.84
2015-03-24,8079.26,8035.85
2015-03-25,8032.1,8083.81
2015-03-26,8063.48,8087.42
2015-03-27,8130.58,8129.98
2015-03-30,8112.42,8037.18
2015-03-31,8138.36,8102.11
2015-04-01,8078.03,8050.25
2015-04-02,8052.47,8066.57
2015-04-03,8099.55,8064.57
2015-04-06,8056.31,8065.75
2015-04-07,8081.95,8055.12
2015-04-08,8042.1,8152.56
2015-04-09,8120.45,8168.56
2015-04-10,8183.02,8165.77
2015-04-13,8150.05,8257.82
2015-04-14,8319.09,8256.17
2015-04-15,8244.17,8274.95
2015-04-16,8220.42,8236.21
2015-04-17,8254.17,8196.22
2015-04-20,8214.76,8115.76
2015-04-21,8130.61,8048.75
2015-04-22,7970.61,8028.14
2015-04-23,8051.05,7987.71
2015-04-24,8045.51,8050.69
2015-04-27,8075.63,8016.34
2015-04-28,8031.0,8027.13
2015-04-29,8055.1,8121.71
2015-04-30,8109.47,8167.15
2015-05-01,8139.63,8379.89
2015-05-04,8423.94,8520.4
2015-05-05,8447.64,8570.24
2015-05-06,8544.79,8589.48
2015-05-07,8628.04,8649.0
2015-05-08,8687.45,8755.95
2015-05-11,8772.64,8832.77
2015-05-12,8834.63,8856.47
2015-05-13,8822.76,8671.12
2015-05-14,8715.97,8809.99
2015-05-15,8813.1,8810.33
2015-05-18,8794.7,8746.4
2015-05-19,8838.93,8766.55
2015-05-20,8750.01,8754.96
2015-05-21,8747.32,8681.14
2015-05-22,8664.77,8694.37
2015-05-25,8682.46,8715.19
2015-05-26,8716.07,8758.09
2015-05-27,8805.8,8787.72
2015-05-28,8769.16,8882.01
2015-05-29,8937.54,8945.19
2015-06-01,8911.99,8507.22
2015-06-02,8557.18,8490.29
2015-06-03,8473.8,8520.91
2015-06-04,8515.98,8510.48
2015-06-05,8490.16,8414.85
2015-06-08,8449.65,8436.51
2015-06-09,8361.33,7991.03
2015-06-10,8021.53,7803.34
2015-06-11,7836.34,7865.49
2015-06-12,7869.12,7885.18
2015-06-15,7913.22,8037.24
2015-06-16,8014.26,8063.76
2015-06-17,8046.48,8118.1
2015-06-18,8173.62,8152.65
2015-06-19,8113.77,8212.9
2015-06-22,8213.17,8339.07
2015-06-23,8346.26,8321.19
2015-06-24,8372.12,8410.5
2015-06-25,8407.94,8436.94
2015-06-26,8451.81,8405.95
2015-06-29,8412.37,7997.92
2015-06-30,7993.55,8024.41
2015-07-01,8072.02,8070.31
2015-07-02,8111.58,8220.43
2015-07-03,8188.89,8251.33
2015-07-06,8274.44,8278.47
2015-07-07,8285.36,8302.82
2015-07-08,8260.1,8256.9
2015-07-09,8227.3,7868.84
2015-07-10,7924.38,7954.17
2015-07-13,7958.91,8065.98
2015-07-14,8023.21,7911.22
2015-07-15,7898.21,7871.88
2015-07-16,7866.98,7909.32
2015-07-17,7932.77,8028.67
2015-07-20,7998.72,8091.32
2015-07-21,8042.17,8059.1
2015-07-22,8086.79,8181.56
2015-07-23,8219.93,8275.0
2015-07-24,8256.64,8233.81
2015-07-27,8224.8,8348.76
2015-07-28,8324.45,8449.61
2015-07-29,8444.65,8460.84
2015-07-30,8459.93,8459.88
2015-07-31,8433.81,8549.05
2015-08-03,8527.4,8614.28
2015-08-04,8571.18,8563.61
2015-08-05,8627.83,8741.94
2015-08-06,8790.86,8827.6
2015-08-07,8812.57,8849.67
2015-08-10,8818.17,8780.75
2015-08-11,8843.98,8851.46
2015-08-12,8863.56,8891.0
2015-08-13,8925.17,9053.23
2015-08-14,8986.59,8973.24
2015-08-17,9028.28,8869.26
2015-08-18,8932.63,8773.21
2015-08-19,8758.86,8903.31
2015-08-20,8970.4,9055.59
2015-08-21,9143.76,9145.85
2015-08-24,9167.87,9064.79
2015-08-25,9092.72,9059.5
2015-08-26,9109.6,9043.36
2015-08-27,9045.32,9001.56
2015-08-28,8993.28,8997.61
2015-08-31,9000.08,9085.41
2015-09-01,9069.58,9052.23
2015-09-02,8998.25,8970.88
2015-09-03,8945.37,9046.41
2015-09-04,9073.69,9048.71
2015-09-07,9080.75,9153.13
2015-09-08,9110.04,9096.01
2015-09-09,9130.31,9073.61
2015-09-10,9098.19,9092.91
2015-09-11,9115.66,8969.14
